,agency,detail,bn_dol
200,OTHER,REMAINDER INCLUDING MISCELLANEOUS,12.05
35,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,7.44
131,DEPARTMENT OF SOCIAL SERVICES,MEDICAL ASSISTANCE - OTPS,6.36
33,DEPARTMENT OF EDUCATION,FRINGE BENEFITS - PS,3.9
134,DEPARTMENT OF SOCIAL SERVICES,PUBLIC ASSISTANCE - OTPS,3.85
39,DEPARTMENT OF EDUCATION,PENSION CONTRIBUTIONS (ACA),3.55
93,DEPARTMENT OF HOMELESS SERVICES,SHELTER INTAKE AND PROGRAM - OTPS,3.47
150,HEALTH AND HOSPITALS CORPORATION,LUMP SUM,3.19
21,DEPARTMENT OF EDUCATION,CHARTER SCHOOLS,3.15
176,POLICE DEPARTMENT,FRINGE BENEFITS (ACA),3.06
198,OTHER,DEPARTMENT OF TRANSPORTATION,2.8
193,OTHER,DEPARTMENT OF CORRECTION,2.78
184,POLICE DEPARTMENT,PENSION CONTRIBUTIONS (ACA),2.73
192,OTHER,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,2.66
51,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP - PS,2.41
25,DEPARTMENT OF EDUCATION,DEBT SERVICE (ACA),2.23
195,OTHER,DEPARTMENT OF ENVIRONMENTAL PROTECTION,2.11
180,POLICE DEPARTMENT,OPERATIONS,2.06
141,FIRE DEPARTMENT,FIRE EXTING AND EMERG RESP,1.79
182,POLICE DEPARTMENT,PATROL - PS,1.75
40,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,1.72
147,FIRE DEPARTMENT,PENSION CONTRIBUTIONS (ACA),1.68
190,OTHER,CITY UNIVERSITY OF NEW YORK,1.58
22,DEPARTMENT OF EDUCATION,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,1.55
197,OTHER,DEPARTMENT OF PARKS AND RECREATION,1.49
15,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,1.47
24,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - PS,1.42
199,OTHER,DEPARTMENT OF YOUTH AND COMMUNITY DEVELOPMENT,1.36
43,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,1.26
3,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,1.24
16,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,1.2
146,FIRE DEPARTMENT,FRINGE BENEFITS (ACA),1.12
196,OTHER,DEPARTMENT OF INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS,1.09
8,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,1.0
153,HOUSING PRESERVATION AND DEVELOPMENT,DEBT SERVICE (ACA),0.99
57,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,0.95
55,DEPARTMENT OF EDUCATION,SE PRE-K CONTRACT PMTS - OTPS,0.93
100,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,0.89
34,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,0.88
31,DEPARTMENT OF EDUCATION,ENERGY AND LEASES - OTPS,0.75
164,HOUSING PRESERVATION AND DEVELOPMENT,RENTAL SUBSIDY PROGRAMS - OTPS,0.74
58,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - PS,0.72
105,DEPARTMENT OF SANITATION,FRINGE BENEFITS (ACA),0.59
111,DEPARTMENT OF SANITATION,WASTE DISPOSAL-OTPS,0.56
79,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HEALTH,0.54
191,OTHER,DEPARTMENT FOR THE AGING,0.53
28,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,0.51
194,OTHER,DEPARTMENT OF CULTURAL AFFAIRS,0.5
65,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISEASE CONTROL - OTPS,0.49
154,HOUSING PRESERVATION AND DEVELOPMENT,EMERGENCY SHELTER OPERATIONS,0.45
125,DEPARTMENT OF SOCIAL SERVICES,FRINGE BENEFITS (ACA),0.45
115,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,0.44
113,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,0.44
54,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT - PS,0.43
53,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,0.42
174,POLICE DEPARTMENT,EXECUTIVE MANAGEMENT,0.42
166,POLICE DEPARTMENT,ADMINISTRATION-OTPS,0.42
14,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,0.39
137,FIRE DEPARTMENT,EMERGENCY MEDICAL SERVICES-PS,0.39
152,HOUSING PRESERVATION AND DEVELOPMENT,CITY ASSISTANCE TO NYC HOUSING AUTHORITY,0.38
47,DEPARTMENT OF EDUCATION,SCHOOL SAFETY - OTPS,0.37
133,DEPARTMENT OF SOCIAL SERVICES,PUBLIC ASSISTANCE,0.35
112,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,0.34
32,DEPARTMENT OF EDUCATION,FRINGE BENEFITS (ACA),0.34
95,DEPARTMENT OF HOMELESS SERVICES,STREET PROGRAMS - OTPS,0.34
107,DEPARTMENT OF SANITATION,PENSION CONTRIBUTIONS (ACA),0.32
45,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,0.32
68,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EARLY INTERVENTION - OTPS,0.31
167,POLICE DEPARTMENT,ADMINISTRATION-PERSONNEL,0.31
46,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,0.29
186,POLICE DEPARTMENT,SCHOOL SAFETY- P.S.,0.29
189,POLICE DEPARTMENT,TRANSIT POLICE-PS,0.29
138,FIRE DEPARTMENT,EXECUTIVE ADMIN-OTPS,0.28
148,HEALTH AND HOSPITALS CORPORATION,DEBT SERVICE (ACA),0.28
102,DEPARTMENT OF SANITATION,DEBT SERVICE (ACA),0.27
128,DEPARTMENT OF SOCIAL SERVICES,LEGAL SERVICES - OTPS,0.27
1,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - OTPS,0.25
6,ADMINISTRATION FOR CHILDRENS SERVICES,FRINGE BENEFITS (ACA),0.25
