,agency_name,unit_appropriation_name,object_class_name,total_amount,bn_dol
0,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,ADDITIONAL GROSS PAY,3644906,0.003644906
1,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,AMOUNTS TO BE SCHEDULED,29570,2.957e-05
2,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,FRINGE BENEFITS,100000,0.0001
3,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,FULL TIME SALARIED,80644123,0.080644123
4,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,UNSALARIED,402392,0.000402392
5,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - OTPS,CONTRACTUAL SERVICES,1092740,0.00109274
6,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - OTPS,OTHER SERVICES AND CHARGES,22211,2.2211e-05
7,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - OTPS,SOCIAL SERVICES,252202056,0.252202056
8,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - PS,ADDITIONAL GROSS PAY,99410,9.941e-05
9,ADMINISTRATION FOR CHILDRENS SERVICES,ADOPTION SUBSIDY - PS,FULL TIME SALARIED,2171537,0.002171537
10,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,CONTRACTUAL SERVICES,1056809266,1.056809266
11,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,FIXED & MISCELLANEOUS CHARGES,30713239,0.030713239
12,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,OTHER SERVICES AND CHARGES,25561457,0.025561457
13,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,SOCIAL SERVICES,128426355,0.128426355
14,ADMINISTRATION FOR CHILDRENS SERVICES,CHILD WELFARE-OTPS,SUPPLIES AND MATERIALS,0,0.0
15,ADMINISTRATION FOR CHILDRENS SERVICES,COMMITTEE ON SPECIAL EDUCATION,SOCIAL SERVICES,79270788,0.079270788
16,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART and DAYCARE-PS,ADDITIONAL GROSS PAY,1096351,0.001096351
